"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,GM25256_day21-1,GM25256_day21-2,GM25256_day21-3
HOXB9,28484.5648342728,17.1028483458634,2.45631972231594,2.14288963257435e-42,6.06718584448844e-41,0,0,0,12563.9617930364,24820.4302625283,13985.8174143765
PANTR1,3032.98248595171,15.5348500973715,2.5213109257003,4.64837288523496e-35,9.9561157632391e-34,0,0,0,6037.52923814812,5380.846594602,5072.71702689467
LHX9,2128.65955934961,15.5174069542986,2.65804426405281,7.72315657950016e-34,1.57257341307571e-32,0,0,0,4724.43978146688,3440.10431501554,6562.38430018983
NEUROD4,2390.78563776852,15.1583830287709,2.52149902891105,2.60019807936681e-33,5.17339781031992e-32,0,0,0,4167.26068982033,4650.01850188916,3932.44992965607
HOXC6,3837.44847779443,14.4212375650083,2.4559055690961,1.82802201114219e-30,3.23516682697578e-29,0,0,0,2228.71636658618,3562.09382973241,2326.56747901164
NR2F1,13078.9356209447,14.2111128951465,0.963723566172497,2.58913107623696e-44,7.77512197819217e-43,0,1.06979104468705,0.815642220826673,13122.3600949492,18773.0773193369,14804.6061638827
HOXB8,6596.33380659396,13.6839318043977,2.41722285575079,8.17637040418597e-28,1.29216355449953e-26,0,0,0,1406.96864717749,2047.20585606663,1588.52563844292
HOXA9,2602.8852220798,13.4606676672556,2.44621692756417,6.58058020174157e-27,9.95030708569585e-26,0,0,0,1289.92446162373,1583.64570014255,1344.0209796042
HOXB-AS3,2007.53402119572,13.4563749476723,2.458420951446,7.52112856319346e-27,1.13511566200808e-25,0,0,0,1460.61389888963,1316.37776335379,1385.52640008608
MMRN1,7908.90506674159,13.1648831182461,0.575127230105084,2.50827134431095e-114,3.79090474723278e-112,2.89163239894311,3.20937313406114,2.44692666248002,34537.7884204887,16944.3435941723,29692.2231687292
HOXC9,1792.47703433499,12.9872104883375,2.43453858733825,2.90158530566401e-25,4.08072669986614e-24,0,0,0,1066.80898291188,1076.8347162734,931.230706811666
HOXB7,2713.96504610474,12.9762888581851,2.41690178369371,4.28300019428849e-25,5.96875940495822e-24,0,0,0,1064.37056237951,1018.05795009164,1026.31585191561
TRDC,233.561379297684,12.9700279027749,2.60355157617205,2.40419843749156e-23,3.08842602153744e-22,0,0,0,1272.85551789714,545.625829460879,906.327454522537
NR2F2,13401.1961232005,12.6797584701651,0.619855655104736,5.72123421217273e-90,5.40111354129808e-88,1.44581619947156,2.13958208937409,2.44692666248002,11499.5912306569,19671.3637458884,12781.4055763932
ST18,3242.54386434885,12.663917042242,1.28505966276008,1.18997732823336e-26,1.78424546578893e-25,0,1.06979104468705,0,2521.32683047058,3386.87252677546,3349.11011088345
